"","Pair","Site_ID1","Site_ID2","DistMetersEuclid","DistMetersWater","BioRealm","HydroBasin","Country","Ratio"
"1","S11928.S10038","S11928","S10038",2972.61629903607,2865.789402,"Palearctic",2080029400,"FIN",1.03727660412224
"2","S12317.S11924","S12317","S11924",1133.42158635643,1132.342726,"Palearctic",2080029400,"FIN",1.0009527683904
"3","S1215.S1213","S1215","S1213",736.148384488424,704.9940331,"Palearctic",2080033020,"SWE",1.04419094336364
"4","S12306.S12298","S12306","S12298",575.721247872929,544.8311946,"Palearctic",2080029400,"FIN",1.05669655772116
"5","S1416.S1414","S1416","S1414",79.8766306078361,40.11968557,"Palearctic",2080033090,"SWE",1.99095854000324
"6","S1599.S1593","S1599","S1593",214.927272370013,101.2796318,"Palearctic",2080032230,"SWE",2.12211743417903
"7","S1761.S1750","S1761","S1750",707.027130665038,391.573741,"Palearctic",2080033120,"SWE",1.80560404499912
"8","S1800.S1798","S1800","S1798",412.468340527277,148.4238496,"Palearctic",2080032230,"SWE",2.77898964107771
"9","S2163.S2162","S2163","S2162",1792.7394205694,1782.958176,"Palearctic",2080033120,"SWE",1.0054859641135
"10","S2355.S2329","S2355","S2329",1216.64625739427,0,"Palearctic",2080033010,"SWE",Inf
"11","S2472.S2446","S2472","S2446",2268.81761994036,2237.52199,"Palearctic",2080033190,"SWE",1.01398673625566
"12","S3237.S2679","S3237","S2679",312.504515617143,219.1168331,"Palearctic",2080016960,"ESP",1.42620040275282
"13","S2715.S2709","S2715","S2709",43.5724575033316,43.24369668,"Palearctic",2080033080,"SWE",1.00760251432167
"14","S2803.S2783","S2803","S2783",1311.63139074361,359.9639506,"Palearctic",2080033080,"SWE",3.64378540839255
"15","S2813.S2783","S2813","S2783",2254.62046935261,865.2978011,"Palearctic",2080033080,"SWE",2.60560059956983
"16","S2785.S2784","S2785","S2784",111.773639125808,49.20240112,"Palearctic",2080032230,"SWE",2.27171106656365
"17","S3058.S2992","S3058","S2992",2246.76589223132,2226.842654,"Palearctic",2080053790,"GBR",1.00894685495427
"18","S3115.S3103","S3115","S3103",515.476465862381,514.4645556,"Palearctic",2080031960,"SWE",1.00196691929768
"19","S3115.S3109","S3115","S3109",285.509754051062,281.9731071,"Palearctic",2080031960,"SWE",1.01254249735883
"20","S3253.S3217","S3253","S3217",1996.02244455187,1993.716838,"Palearctic",2080031960,"SWE",1.00115643631429
"21","S4441.S3782","S4441","S3782",3034.89903596242,2961.932947,"Palearctic",2080016960,"ESP",1.02463461876688
"22","S4130.S4129","S4130","S4129",722.25434802041,359.1652194,"Palearctic",2080031750,"SWE",2.01092508129536
"23","S4265.S4241","S4265","S4241",4090.89467534136,3859.669675,"Palearctic",2080031750,"SWE",1.05990797653982
"24","S4265.S4255","S4265","S4255",955.915179060941,655.3953818,"Palearctic",2080031750,"SWE",1.45853206416497
"25","S491.S469","S491","S469",904.527383201283,874.7317853,"Palearctic",2080032600,"SWE",1.03406255311857
"26","S4734.S4732","S4734","S4732",761.292425345304,615.5942844,"Palearctic",2080033320,"SWE",1.23667883967979
"27","S4739.S4732","S4739","S4732",1189.91120915346,1135.01982,"Palearctic",2080033320,"SWE",1.0483616128866
"28","S660.S592","S660","S592",4334.50733770973,4036.130206,"Palearctic",2080032670,"SWE",1.07392653766872
"29","S660.S609","S660","S609",2403.56055217481,2088.175061,"Palearctic",2080032670,"SWE",1.15103402825996
"30","S678.S666","S678","S666",223.427338906648,180.4484342,"Palearctic",2080032600,"SWE",1.23817831890418
"31","S6796.S6793","S6796","S6793",1815.20547147776,1671.15889,"Palearctic",2080030710,"SWE",1.08619562289362
"32","S6797.S6793","S6797","S6793",1905.85170427766,1759.601863,"Palearctic",2080030710,"SWE",1.083115302588
"33","S6797.S6796","S6797","S6796",91.5105429039584,88.44297315,"Palearctic",2080030710,"SWE",1.03468415459932
"34","S6809.S6801","S6809","S6801",3997.85681027247,3859.00676,"Palearctic",2080030660,"SWE",1.03598077404572
"35","S6812.S6801","S6812","S6801",5371.83953383116,5008.465628,"Palearctic",2080030660,"SWE",1.07255194161655
"36","S6817.S6801","S6817","S6801",6302.81703771091,5783.976745,"Palearctic",2080030660,"SWE",1.08970303920385
"37","S6812.S6809","S6812","S6809",1440.19926164666,1149.458868,"Palearctic",2080030660,"SWE",1.25293675288489
"38","S6817.S6809","S6817","S6809",2481.7096213765,1948.395336,"Palearctic",2080030660,"SWE",1.27371975056735
"39","S6811.S6810","S6811","S6810",206.26405045881,46.30867659,"Palearctic",2080030760,"SWE",4.45411239636573
"40","S6853.S6851","S6853","S6851",110.64846472318,55.41795649,"Palearctic",2080030660,"SWE",1.99661755379137
"41","S6859.S6857","S6859","S6857",111.804648161288,102.8747858,"Palearctic",2080030660,"SWE",1.08680321705504
"42","S6898.S6897","S6898","S6897",70.64543317247,67.67696699,"Palearctic",2080030660,"SWE",1.04386228157814
"43","S6909.S6905","S6909","S6905",551.232135575105,67.05063273,"Palearctic",2080030760,"SWE",8.22113249542044
"44","S6939.S6914","S6939","S6914",2000.50749181312,1782.421495,"Palearctic",2080030610,"SWE",1.12235377402308
"45","S6969.S6934","S6969","S6934",1150.0541234861,1140.292124,"Palearctic",2080030630,"SWE",1.0085609637045
"46","S7084.S7081","S7084","S7081",666.5402527807,174.0980809,"Palearctic",2080030610,"SWE",3.82853302767624
"47","S7085.S7081","S7085","S7081",1103.76042183923,1005.817054,"Palearctic",2080030610,"SWE",1.09737692103124
"48","S7092.S7081","S7092","S7081",2318.12606665419,2245.889599,"Palearctic",2080030610,"SWE",1.03216385510951
"49","S7111.S7081","S7111","S7081",6418.95713210695,6398.890857,"Palearctic",2080030610,"SWE",1.00313589894802
"50","S7092.S7085","S7092","S7085",1264.27094517176,1240.072545,"Palearctic",2080030610,"SWE",1.01951369721822
"51","S7113.S7112","S7113","S7112",452.064839680511,167.2821075,"Palearctic",2080030610,"SWE",2.70240999731852
"52","S7116.S7112","S7116","S7112",1184.51542319864,668.1699507,"Palearctic",2080030610,"SWE",1.77277565678866
"53","S7124.S7112","S7124","S7112",2646.19562751381,2608.27622,"Palearctic",2080030610,"SWE",1.0145381103516
"54","S7129.S7112","S7129","S7112",3856.0379817287,3388.670686,"Palearctic",2080030610,"SWE",1.13792054142634
"55","S7151.S7112","S7151","S7112",6224.49103509617,6188.772342,"Palearctic",2080030610,"SWE",1.00577153127023
"56","S7153.S7112","S7153","S7112",6501.98635534691,6323.673602,"Palearctic",2080030610,"SWE",1.02819765291025
"57","S7116.S7113","S7116","S7113",1004.57020707452,835.4520583,"Palearctic",2080030610,"SWE",1.20242711367382
"58","S7129.S7113","S7129","S7113",3685.9425149178,3555.952794,"Palearctic",2080030610,"SWE",1.0365555249038
"59","S7153.S7113","S7153","S7113",6526.77960684837,6490.95571,"Palearctic",2080030610,"SWE",1.00551904811077
"60","S7129.S7124","S7129","S7124",2039.43795000821,1227.131981,"Palearctic",2080030610,"SWE",1.66195485211481
"61","S7153.S7124","S7153","S7124",3863.52459682389,3715.397383,"Palearctic",2080030610,"SWE",1.03986847127084
"62","S7151.S7129","S7151","S7129",2999.70704281305,2800.101656,"Palearctic",2080030610,"SWE",1.07128505009286
"63","S7151.S7132","S7151","S7132",2205.13684605466,1648.101841,"Palearctic",2080030610,"SWE",1.33798579141
"64","S7154.S7132","S7154","S7132",2199.71469020425,2159.275347,"Palearctic",2080030610,"SWE",1.01872820122752
"65","S7148.S7140","S7148","S7140",1381.28921089079,1012.424521,"Palearctic",2080030610,"SWE",1.36433796519118
"66","S7154.S7151","S7154","S7151",1243.25263594009,511.1735062,"Palearctic",2080030610,"SWE",2.43215389855055
"67","S7185.S7153","S7185","S7153",16864.2278235229,16472.72939,"Palearctic",2080030610,"SWE",1.02376645814145
"68","S7166.S7162","S7166","S7162",2870.04494874806,2790.136977,"Palearctic",2080030560,"SWE",1.02863944401539
"69","S7185.S7170","S7185","S7170",8343.2275206618,7320.268699,"Palearctic",2080030610,"SWE",1.13974334327393
"70","S7185.S7174","S7185","S7174",3906.01752616906,1312.970895,"Palearctic",2080030610,"SWE",2.97494601064181
"71","S7201.S7199","S7201","S7199",451.235958476877,402.4521423,"Palearctic",2080030560,"SWE",1.12121644053894
"72","S7303.S7300","S7303","S7300",582.801341336871,0,"Palearctic",2080030460,"SWE",Inf
"73","S7305.S7304","S7305","S7304",1643.45897514388,1058.124997,"Palearctic",2080030460,"SWE",1.55318037075339
"74","S7329.S7328","S7329","S7328",777.086978250245,444.6208666,"Palearctic",2080030460,"SWE",1.74775193119612
"75","S7350.S7347","S7350","S7347",649.866678865188,108.4613364,"Palearctic",2080030460,"SWE",5.99168976185682
"76","S7352.S7347","S7352","S7347",1088.4369552799,504.2247897,"Palearctic",2080030460,"SWE",2.158634358155
"77","S7352.S7350","S7352","S7350",441.705621995556,395.7634533,"Palearctic",2080030460,"SWE",1.11608491969755
"78","S7533.S7531","S7533","S7531",604.733289022861,65.27606303,"Palearctic",2080030370,"SWE",9.26424267874326
"79","S7545.S7531","S7545","S7531",1184.87244833332,341.5339066,"Palearctic",2080030370,"SWE",3.46926740050153
"80","S7545.S7533","S7545","S7533",1130.38658577104,276.2578435,"Palearctic",2080030370,"SWE",4.09178096610692
"81","S7585.S7584","S7585","S7584",854.062621989661,831.9334802,"Palearctic",2080030420,"SWE",1.0265996528765
"82","S8023.S8017","S8023","S8017",4008.60899221469,3924.830797,"Palearctic",2080030220,"SWE",1.02134568330404
"83","S8053.S8052","S8053","S8052",398.190088906607,396.8393589,"Palearctic",2080030220,"SWE",1.00340371985871
"84","S8143.S8081","S8143","S8081",7113.8076440469,7103.588203,"Palearctic",2080030160,"SWE",1.00143863083766
"85","S8146.S8084","S8146","S8084",6414.71741865385,6371.961541,"Palearctic",2080030160,"SWE",1.00671000246608
"86","S8286.S8284","S8286","S8284",220.384544115708,196.8239832,"Palearctic",2080030100,"SWE",1.11970370954117
"87","S8335.S8329","S8335","S8329",3169.7797935598,3120.819637,"Palearctic",2080030160,"SWE",1.01568823650663
"88","S8341.S8330","S8341","S8330",4190.29004600008,1981.614594,"Palearctic",2080030100,"SWE",2.11458376350658
"89","S8477.S8476","S8477","S8476",183.57083564421,46.2064834,"Palearctic",2080030100,"SWE",3.97283718942805
"90","S8478.S8476","S8478","S8476",992.429343606615,801.5726849,"Palearctic",2080030100,"SWE",1.23810274763844
"91","S8478.S8477","S8478","S8477",1139.27949042786,847.7791683,"Palearctic",2080030100,"SWE",1.34383992085154
"92","S8485.S8484","S8485","S8484",233.85783139181,223.6301305,"Palearctic",2080030100,"SWE",1.04573489658546
"93","S8490.S8486","S8490","S8486",167.891202460994,166.0661938,"Palearctic",2080030100,"SWE",1.01098964587092
"94","S8493.S8492","S8493","S8492",414.507019583596,411.3717153,"Palearctic",2080030100,"SWE",1.0076215844867
"95","S8494.S8492","S8494","S8492",400.615515037033,388.9261918,"Palearctic",2080030100,"SWE",1.03005537678739
"96","S8496.S8492","S8496","S8492",854.010620232177,848.9542708,"Palearctic",2080030100,"SWE",1.00595597384464
"97","S8494.S8493","S8494","S8493",49.9700860767532,22.44552347,"Palearctic",2080030100,"SWE",2.22628294428248
"98","S8496.S8493","S8496","S8493",439.580991961283,437.5825555,"Palearctic",2080030100,"SWE",1.0045669929849
"99","S8002.S8001","S8002","S8001",3095.54587199381,1258.750159,"Australasia",5080070260,"AUS",2.45922183195833
"100","S11383.S11264","S11383","S11264",1035.14625115315,1012.621514,"Nearctic",7080047060,"USA",1.02224398439272
"101","S11830.S11784","S11830","S11784",1542.03779002512,934.4639753,"Nearctic",7080047060,"USA",1.65018430970554
"102","S11872.S11830","S11872","S11830",870.661848857792,632.4158233,"Nearctic",7080047060,"USA",1.37672369472763
"103","S6165.S6120","S6165","S6120",1000.96086863562,977.5735308,"Nearctic",7080047060,"USA",1.02392386567227
